Group Report - Group PM25,,,,,,
,,,,,,
Date,Time,US Consulate-Chennai,US Consulate-Kolkata,US Consulate-Hyderabad,US Consulate-Mumbai,US Embassy-New Delhi
,,PM2.5_Chennai,PM2.5_Kolkata,PM2.5_HYD,PM2.5_Mum,PM2.5_Delhi
,,?g/m3,?g/m3,?g/m3,?g/m3,?g/m3
23/03/2016,2:00 AM,28,112,146,62,29
23/03/2016,3:00 AM,23,122,139,37,40
23/03/2016,4:00 AM,25,108,123,35,43
23/03/2016,5:00 AM,23,95,122,35,86
23/03/2016,6:00 AM,31,97,115,57,172
23/03/2016,7:00 AM,37,98,131,61,155
23/03/2016,8:00 AM,39,103,138,75,119
23/03/2016,9:00 AM,27,70,105,69,96
23/03/2016,10:00 AM,29,---,90,77,89
23/03/2016,11:00 AM,31,54,72,114,66
23/03/2016,12:00 PM,23,48,69,128,41
23/03/2016,1:00 PM,32,49,58,108,35
23/03/2016,2:00 PM,31,47,63,150,18
